cod_orgao_julg;Atuacao_Vara
6687;Cível
6698;Criminal
6713;Cível
6718;Cível
6723;Cível
6737;Criminal
6799;Trabalho
6801;Cível
6802;Cível
7236;Cível
7245;Cível
7290;Cível
7298;Trabalho
7303;Execução Fiscal
7311;Cível
7322;Cível
7327;Cível
7328;Cível
7330;Cível
7334;Execução Fiscal
7338;Cível
7341;Criminal
7359;Cível
7368;Cível
7372;Cível
7381;Cível
7386;Criminal
7390;Cível
7400;Cível
7433;Cível
7487;Cível
7496;Cível
7516;Criminal
7521;Criminal
7556;Cível
75571;Criminal
75572;Criminal
7565;Trabalho
7591;Criminal
7601;Criminal
7617;Cível
7627;Cível
7651;Criminal
7664;Criminal
7680;Criminal
7686;Criminal
7737;Cível
7741;Cível
7753;Trabalho
7754;Criminal
7759;Cível
7761;Cível
7765;Cível
7767;Criminal
7770;Criminal
7775;Trabalho
7776;Cível
7777;Criminal
7778;Cível
7779;Cível
7780;Cível
7781;Cível
77959;Criminal
77960;Cível
8027;Criminal
8030;Criminal
8036;Execução Fiscal
8041;Criminal
8043;Criminal
8059;Trabalho
8065;Trabalho
8070;Trabalho
8074;Cível
8075;Cível
8077;Criminal
8080;Criminal
8082;Trabalho
8084;Criminal
8088;Criminal
8094;Geral
8095;Geral
8096;Geral
8097;Geral
8098;Geral
8099;Geral
8100;Geral
8101;Geral
81012;Cível
8102;Geral
8103;Geral
8104;Geral
8105;Geral
8106;Trabalho
8107;Geral
8108;Geral
8110;Geral
8111;Geral
8112;Geral
8113;Geral
8114;Geral
8115;Geral
8116;Geral
8117;Geral
8118;Geral
8119;Geral
81223;Criminal
8124;Execução Fiscal
8126;Geral
8128;Geral
8130;Geral
8131;Geral
8132;Geral
8133;Geral
8135;Geral
8137;Geral
8138;Geral
8140;Criminal
8141;Geral
81413;Cível
8142;Geral
8143;Geral
8144;Geral
8145;Trabalho
8146;Geral
8147;Trabalho
8245;Cível
12572;Criminal
12703;Criminal
13360;Criminal
13710;Cível
16458;Criminal
16514;Geral
17349;Cível
17355;Cível
17356;Cível
17904;Cível
18275;Fazenda
18422;Criminal
23043;Cível
23044;Cível
23054;Cível
23062;Criminal
23063;Cível
23064;Cível
23084;Cível
23087;Geral
23111;Cível
23114;Cível
23116;Cível
23117;Cível
2793;Cível
2794;Cível
2795;Cível
2796;Cível
2798;Cível
2799;Cível
2801;Cível
2803;Cível
2805;Cível
2808;Cível
2810;Cível
2813;Cível
2817;Cível
2866;Cível
2871;Cível
2874;Cível
2892;Execução Fiscal
2896;Execução Fiscal
2899;Execução Fiscal
3077;Criminal
3145;Cível
3147;Cível
3151;Cível
3157;Cível
3162;Geral
3171;Execução Fiscal
3174;Geral
3178;Criminal
3181;Criminal
3184;Criminal
3207;Cível
3211;Cível
3217;Cível
3219;Cível
3222;Cível
3226;Cível
3230;Cível
3247;Cível
3250;Cível
3252;Cível
3255;Cível
3257;Cível
3261;Cível
3263;Cível
3268;Cível
3277;Cível
5359;Cível
5362;Cível
5381;Geral
5384;Geral
5399;Geral
5413;Geral
5424;Geral
5437;Cível
5446;Cível
5454;Criminal
5476;Cível
5483;Cível
5504;Cível
6023;Geral
6034;Geral
6037;Geral
6056;Cível
6063;Geral
6069;Geral
6089;Geral
6105;Cível
6122;Geral
