MOVIMENTO;NATUREZA;GRAU;RELEVANCIA;FASE;
433 - Não-Admissão - Recurso Especial ;GERAL;;1;F2 - RECURSO;
442 - Concessão - Segurança ;GERAL;;1;F1 - CONHECIMENTO;
443 - Concessão - Habeas corpus ;GERAL;;1;F1 - CONHECIMENTO;
444 - Concessão - Habeas data ;GERAL;;1;F1 - CONHECIMENTO;
446 - Denegação - Segurança ;GERAL;;1;F1 - CONHECIMENTO;
447 - Denegação - Habeas corpus ;GERAL;;1;F1 - CONHECIMENTO;
450 - Concessão em Parte - Segurança ;GERAL;;1;F1 - CONHECIMENTO;
451 - Concessão em Parte - Habeas corpus ;GERAL;;1;F1 - CONHECIMENTO;
454 - Extinção - Indeferimento da petição inicial ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA 
455 - Com Resolução do Mérito - Renúncia ao direito pelo autor ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA 
