"classeProcessual","codigoLocalidade","orgaoJulgador_codigoOrgao","assunto_codigoNacional","codigo_ultima_movimentacao","mes_ajuizamento","alvo_processos_demorados","G1","G2","JE","TR","CRIMINAL","CIVIL","JUIZADOS","EXECUTIVOS","OUTROS","PEQUENO","MÉDIO","GRANDE"
278,1302603,4923,5885,22,3,"NORMAL",0,0,1,0,1,0,0,0,0,1,0,0
278,1302603,4922,3402,22,4,"NORMAL",0,0,1,0,1,0,0,0,0,1,0,0
278,1302603,4922,3390,22,4,"NORMAL",0,0,1,0,1,0,0,0,0,1,0,0
436,1302504,13092,9606,246,3,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302504,13092,7691,246,4,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302504,13092,9587,246,4,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4905,1855,22,8,"DEMORADO",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4905,10328,22,10,"DEMORADO",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4905,7681,22,4,"DEMORADO",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4905,1855,22,7,"DEMORADO",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4905,1855,22,9,"DEMORADO",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4905,4951,22,11,"DEMORADO",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4905,9148,22,5,"DEMORADO",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4905,10671,22,5,"DEMORADO",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,11677,10431,22,5,"DEMORADO",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,11677,10431,22,5,"DEMORADO",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4902,7780,22,3,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4907,10443,22,3,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4905,10671,22,3,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4910,6226,22,3,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4910,11806,22,3,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4907,6226,22,3,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4906,11811,22,3,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,11738,6226,22,3,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4908,4832,22,3,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4905,11865,22,3,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4913,9178,22,3,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4906,11811,22,3,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4907,10671,22,3,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4908,10435,22,3,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4908,6007,22,3,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4906,6226,22,3,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4902,6226,22,3,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,11738,6226,22,3,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4908,10598,22,3,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4906,7780,22,3,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
436,1302603,4910,6226,22,3,"NORMAL",0,0,1,0,0,0,1,0,0,1,0,0
